
      endpoint,ingressProtected,egressProtected,ingressFromInternet,egressToInternet,ingressFromOtherNamespace,egressToOtherNamespace,envoyEnabled,appliedPolicies,trafficAggregationPrefix,endpointsGeneratingTrafficToThisEndpoint,endpointsReceivingTrafficFromThisEndpoint
Pod.v1(calico-system/calico-typha-5b7c577769-dqktv),true,true,false,false,false,false,false,NetworkPolicy(calico-system/allow-tigera.default-deny),,,
Pod.v1(calico-system/csi-node-driver-h5pb2),true,true,false,false,false,false,false,NetworkPolicy(calico-system/allow-tigera.default-deny),,,
Pod.v1(tigera-dpi/tigera-dpi-lkrx5),false,true,false,true,false,true,false,NetworkPolicy(tigera-dpi/allow-tigera.tigera-dpi),,,
Pod.v1(tigera-fluentd/fluentd-node-25bnx),true,true,false,true,true,true,false,NetworkPolicy(tigera-fluentd/allow-tigera.allow-fluentd-node),fluentd-node-*,,Pod.v1(kube-system/coredns-668fcd785b-*);Pod.v1(tigera-guardian/tigera-guardian-6798ddf5d9-*)
Pod.v1(calico-system/l7-log-collector-rg92w),true,true,false,false,false,false,false,NetworkPolicy(calico-system/allow-tigera.default-deny),,,
Pod.v1(calico-cloud/tigera-image-assurance-operator-5d8d876b78-48dd6),true,true,false,true,false,true,false,NetworkPolicy(calico-cloud/allow-tigera.default-deny);NetworkPolicy(calico-cloud/allow-tigera.calico-cloud-apiserver-access),,,
Pod.v1(tigera-system/tigera-apiserver-58c99bdc49-cvtqk),true,true,true,false,false,true,false,NetworkPolicy(tigera-system/allow-tigera.cnx-apiserver-access),,,
Pod.v1(stars/frontend-dbb5ffddc-jh2wm),false,false,false,false,false,false,false,,frontend-dbb5ffddc-*,Pod.v1(client/client-66bd6b65d5-*);Pod.v1(management-ui/management-ui-69f9d7459c-*);Pod.v1(stars/backend-b957545dc-*);Pod.v1(stars/frontend-dbb5ffddc-*),Pod.v1(client/client-66bd6b65d5-*);Pod.v1(kube-system/coredns-668fcd785b-*);Pod.v1(stars/backend-b957545dc-*);Pod.v1(stars/frontend-dbb5ffddc-*)
Pod.v1(tigera-compliance/compliance-controller-5f594b7d5d-qqfsd),true,true,false,true,false,true,false,NetworkPolicy(tigera-compliance/allow-tigera.compliance-access);NetworkPolicy(tigera-compliance/allow-tigera.default-deny),,,
Pod.v1(tigera-prometheus/alertmanager-calico-node-alertmanager-1),true,true,true,true,true,true,false,NetworkPolicy(tigera-prometheus/allow-tigera.calico-node-alertmanager-mesh);NetworkPolicy(tigera-prometheus/allow-tigera.default-deny);NetworkPolicy(tigera-prometheus/allow-tigera.calico-node-alertmanager),alertmanager-calico-node-alertmanager-*,Pod.v1(tigera-prometheus/alertmanager-calico-node-alertmanager-*),Pod.v1(kube-system/coredns-668fcd785b-*);Pod.v1(tigera-prometheus/alertmanager-calico-node-alertmanager-*)
Pod.v1(stars/backend-b957545dc-r62nf),false,false,false,false,false,false,false,,backend-b957545dc-*,Pod.v1(client/client-66bd6b65d5-*);Pod.v1(management-ui/management-ui-69f9d7459c-*);Pod.v1(stars/backend-b957545dc-*);Pod.v1(stars/frontend-dbb5ffddc-*),Pod.v1(client/client-66bd6b65d5-*);Pod.v1(kube-system/coredns-668fcd785b-*);Pod.v1(stars/backend-b957545dc-*);Pod.v1(stars/frontend-dbb5ffddc-*)
Pod.v1(tigera-prometheus/prometheus-calico-node-prometheus-0),true,true,true,true,true,true,false,NetworkPolicy(tigera-prometheus/allow-tigera.default-deny);NetworkPolicy(tigera-prometheus/allow-tigera.prometheus),prometheus-calico-node-prometheus-*,Pod.v1(tigera-guardian/tigera-guardian-6798ddf5d9-*),Private;GlobalNetworkSet(kse.kubernetes)
Pod.v1(calico-system/csi-node-driver-2zrh6),true,true,false,false,false,false,false,NetworkPolicy(calico-system/allow-tigera.default-deny),,,
Pod.v1(tigera-compliance/compliance-snapshotter-9d79bdcb6-7x799),true,true,false,true,false,true,false,NetworkPolicy(tigera-compliance/allow-tigera.default-deny);NetworkPolicy(tigera-compliance/allow-tigera.compliance-access),,,
Pod.v1(tigera-operator/tigera-operator-855cbd4f94-lnxs4),false,false,false,false,false,false,false,,,,
Pod.v1(client/client-66bd6b65d5-hmp72),false,false,false,false,false,false,false,,client-66bd6b65d5-*,Pod.v1(management-ui/management-ui-69f9d7459c-*);Pod.v1(stars/backend-b957545dc-*);Pod.v1(stars/frontend-dbb5ffddc-*),Pod.v1(kube-system/coredns-668fcd785b-*);Pod.v1(stars/backend-b957545dc-*);Pod.v1(stars/frontend-dbb5ffddc-*)
Pod.v1(hipstershop/recommendationservice-7cccc46df5-kmth4),false,false,false,false,false,false,false,,recommendationservice-7cccc46df5-*,Pod.v1(hipstershop/frontend-df5b65484-*),Pod.v1(hipstershop/productcatalogservice-797b6d8875-*)
Pod.v1(kube-system/kube-proxy-vtjv4),false,false,false,false,false,false,false,,,,
Pod.v1(hipstershop/checkoutservice-8696b767d9-4m7cg),false,false,false,false,false,false,false,,checkoutservice-8696b767d9-*,Pod.v1(hipstershop/frontend-df5b65484-*),Pod.v1(hipstershop/cartservice-8fb89866b-*);Pod.v1(hipstershop/currencyservice-795bd6d957-*);Pod.v1(hipstershop/emailservice-84fddd88-*);Pod.v1(hipstershop/paymentservice-776d8b5ddc-*);Pod.v1(hipstershop/productcatalogservice-797b6d8875-*);Pod.v1(hipstershop/shippingservice-569b68c957-*)
Pod.v1(hipstershop/frontend-df5b65484-mdx74),true,true,false,false,false,false,false,NetworkPolicy(hipstershop/app.frontend),frontend-df5b65484-*,Pod.v1(hipstershop/loadgenerator-5cfbd547cf-*);Public,Pod.v1(hipstershop/adservice-554757cf74-*);Pod.v1(hipstershop/cartservice-8fb89866b-*);Pod.v1(hipstershop/checkoutservice-8696b767d9-*);Pod.v1(hipstershop/currencyservice-795bd6d957-*);Pod.v1(hipstershop/productcatalogservice-797b6d8875-*);Pod.v1(hipstershop/recommendationservice-7cccc46df5-*);Pod.v1(hipstershop/shippingservice-569b68c957-*);Pod.v1(kube-system/coredns-668fcd785b-*)
Pod.v1(tigera-fluentd/fluentd-node-pvt8x),true,true,false,true,true,true,false,NetworkPolicy(tigera-fluentd/allow-tigera.allow-fluentd-node),fluentd-node-*,,Pod.v1(kube-system/coredns-668fcd785b-*);Pod.v1(tigera-guardian/tigera-guardian-6798ddf5d9-*)
Pod.v1(hipstershop/adservice-554757cf74-5qldl),false,false,false,false,false,false,false,,adservice-554757cf74-*,Pod.v1(hipstershop/frontend-df5b65484-*),
Pod.v1(tigera-dpi/tigera-dpi-tlqxk),false,true,false,true,false,true,false,NetworkPolicy(tigera-dpi/allow-tigera.tigera-dpi),,,
Pod.v1(management-ui/management-ui-69f9d7459c-psqfv),true,true,true,false,false,true,false,NetworkPolicy(management-ui/namespace-isolation.management-ui-jsrht),management-ui-69f9d7459c-*,Public,Pod.v1(client/client-66bd6b65d5-*);Pod.v1(kube-system/coredns-668fcd785b-*);Pod.v1(stars/backend-b957545dc-*);Pod.v1(stars/frontend-dbb5ffddc-*)
Pod.v1(calico-cloud/calico-cloud-bccbc8784-rv28q),true,true,false,true,false,true,false,NetworkPolicy(calico-cloud/allow-tigera.calico-cloud-apiserver-access);NetworkPolicy(calico-cloud/allow-tigera.calico-cloud-updater-cloud-access);NetworkPolicy(calico-cloud/allow-tigera.default-deny),,,
